row_count,column_count,drop_na_pd,drop_na_spark,fill_na_pd,fill_na_spark,group_pd,group_spark,group_sum_pd,group_sum_spark,group_count_pd,group_count_spark,filter_less_0_pd,filter_less_0_spark,filter_less_10_pd,filter_less_10_spark,join_pd,join_spark,mul_build_pd,mul_build_spark,mul_col_pd,mul_col_spark,pd_to_pyspark,pyspark_to_pd,write_pd,write_spark,read_pd,read_spark,pd_to_spark
10000,20,2273045.35,6127367.31,930211.45,11401758.28,100231.27,2546892.11,7201648.04,6930286.58,4812266.66,6223233.14,787305.75,2286483.38,369474.87,1626980.56,667079444.4,10302926.4,494447.2,3904174.0,294690.746,2660812.946,1350945458.0,231515230.8,235885305.4,685984739.6,38972386.0,197240534.6,1094247436.8
20000,20,3412051.71,6261533.34,1725123.9,8619587.99,107764.62,2516342.15,15881935.84,7038621.18,8685286.48,5298974.1,1102518.61,2996347.5,360388.72,1455366.93,2757283992.6,7913321.8,400458.2,3669802.8,355983.59,2923234.584,2320653303.0,303363031.6,470988264.4,531737192.8,73152948.2,236538145.8,2319078826.4
30000,20,2987325.82,5147554.41,2597924.96,8275803.16,82897.48,2087834.89,19820452.32,7044692.7,13170442.24,5208932.5,1562505.75,3821274.42,319890.13,1307907.29,6277202434.8,7275263.0,727355.6,8246784.8,353742.482,2728613.477,3372815189.0,365213130.0,681121967.8,484674700.2,106286354.6,217249080.0,3323637565.2
40000,20,3717455.12,5243979.08,3450599.02,7734008.96,112366.11,2559911.11,25808129.34,7087528.32,19264665.4,6126151.24,1823438.21,4235863.26,422855.56,1365134.79,11784895344.0,7722078.2,516536.4,4488748.6,410364.53,3007573.881,4287348976.0,421020763.2,909573594.4,635100235.8,142157087.0,203746463.8,4062665036.0
50000,20,4669801.2,5245320.74,4365054.36,8012003.86,114761.06,2757335.8,33218271.86,7100801.98,29118079.84,7347222.1,1898301.74,3549613.25,297103.62,1034083.87,25401353134.8,24746986.8,424197.4,8857106.2,412987.833,2774710.565,5893921653.0,524002939.6,1207762067.6,592884080.6,175450513.4,215689118.8,5447293924.8
60000,20,5296804.84,5731909.75,4578323.31,8047922.16,96016.01,2224244.43,38010596.3,6692867.72,26719727.62,5032423.94,2176918.49,3566999.71,295778.19,1390522.96,36907614016.2,36499633.2,381444.4,4538409.8,400499.1,2608809.617,5962498522.0,549362766.4,1483473977.2,718809534.4,216546172.0,227057236.8,6256675744.6
70000,20,5076857.11,4683326.08,5794457.36,8014643.13,78869.55,2020267.91,40556381.84,6953347.44,29416280.54,5094120.76,2535506.89,3906302.69,311670.39,1062952.36,51181988467.2,39077798.8,486232.8,2917980.6,542694.18,3038352.58,7880144483.0,665817911.8,1775184718.2,601254073.6,285913025.8,290852522.0,7539244689.4
80000,20,6817160.31,5749304.94,6753651.55,8162628.19,87658.71,2095853.4,50931398.32,7887529.06,30940395.32,4568313.28,2902951.89,3801176.37,472910.05,1392389.67,67899002359.6,33089260.6,515857.0,3233960.0,449705.629,2523107.487,8692140723.0,731563971.2,1979109686.6,776122931.0,289187393.0,262154147.6,8598372417.8
90000,20,6786482.0,5381216.38,7470260.19,7676873.22,92142.78,2321904.72,52956586.8,7199329.08,39613200.5,4862067.4,3190770.37,4129107.24,567072.46,1792351.27,89490092552.6,39015719.0,692149.4,3786643.2,469702.901,2507444.073,9777973200.0,839668877.6,2215220363.6,692689519.2,337662495.8,230288781.4,10111329460.4
100000,20,7762776.87,5912820.19,8208674.65,7851123.79,94323.88,2243208.52,61432439.1,7763827.66,38619926.84,4290703.38,3334900.05,4267486.68,523807.84,1664374.66,115635875688.4,82607634.6,624393.2,3220083.4,557645.332,2829119.802,11339898884.0,877914363.2,2360090396.8,691874680.4,353398567.8,280295307.6,10424138366.4
